filename	0	0		2.0 Mapping Tables - Hospitals/HFPN ADT 2.0 table 08-03-2021.xlsx			
MSH-4	2	1	Hospital Value	Description			4
MSH-4	3	1	2.16.840.1.113883.3.1481.1.2.2	Hospital Name			2
MSH-4	4	1	2.16.840.1.113883.3.3823.1010012	HFHN HENRY FORD CLINIC			00000000
MSH-4	5	1	2.16.840.1.113883.3.3823.101002	HFHN ARAB COMMUNITY CENTER ECONOMIC & SOCIAL SERVICES			00000000
MSH-4	6	1	2.16.840.1.113883.3.3823.101003	HFHN ALLEN PARK			00000000
MSH-4	7	1	2.16.840.1.113883.3.3823.101004	HFHN ANN ARBOR			00000000
MSH-4	8	1	2.16.840.1.113883.3.3823.101005	HFHN BEHAVIORAL HEALTH SERVICES DEARBORN			00000000
MSH-4	9	1	2.16.840.1.113883.3.3823.101006	HFHN BLOOMFIELD HILLS			00000000
MSH-4	10	1	2.16.840.1.113883.3.3823.101007	HFHN CANTON			00000000
MSH-4	11	1	2.16.840.1.113883.3.3823.101008	HFHN CENTER FOR ATHLETIC MEDICINE			00000000
MSH-4	12	1	2.16.840.1.113883.3.3823.101009	HFHN CENTER FOR REPRODUCTIVE MEDICINE			00000000
MSH-4	13	1	2.16.840.1.113883.3.3823.101010	HFHN CHRYSLER			00000000
MSH-4	14	1	2.16.840.1.113883.3.3823.101011	HFHN CLINTON OAKS BEHAVIORAL HEALTH SERVICES			00000000
MSH-4	15	1	2.16.840.1.113883.3.3823.101012	HFHN COLUMBUS			00000000
MSH-4	16	1	2.16.840.1.113883.3.3823.101013	HFHN COMMERCE			00000000
MSH-4	17	1	2.16.840.1.113883.3.3823.1010141	Henry Ford Cottage Clinic			00000000
MSH-4	18	1	2.16.840.1.113883.3.3823.101015	HFHN DETROIT NORTHWEST			00000000
MSH-4	19	1	2.16.840.1.113883.3.3823.101016	HFHN DOWNRIVER CENTER FOR ONCOLOGY			00000000
MSH-4	20	1	2.16.840.1.113883.3.3823.101017	HFHN EAST JEFFERSON			00000000
MSH-4	21	1	2.16.840.1.113883.3.3823.1010181	Henry Ford Fairlane Clinic			00000000
MSH-4	22	1	2.16.840.1.113883.3.3823.101019	HFHN FARMINGTON ROAD			00000000
MSH-4	23	1	2.16.840.1.113883.3.3823.101020	HFHN FORD ROAD MOB			00000000
MSH-4	24	1	2.16.840.1.113883.3.3823.101021	HFHN HAMTRAMCK			00000000
MSH-4	25	1	2.16.840.1.113883.3.3823.101022	HFHN HARBORTOWN			00000000
MSH-4	26	1	2.16.840.1.113883.3.3823.101023	HFHN LAKESIDE			00000000
MSH-4	27	1	2.16.840.1.113883.3.3823.101024	HFHN LIVONIA			00000000
MSH-4	28	1	2.16.840.1.113883.3.3823.101025	HFHN LOWELL PARK REHAB			00000000
MSH-4	29	1	2.16.840.1.113883.3.3823.101026	HFHN MACOMB WARREN REHAB			00000000
MSH-4	30	1	2.16.840.1.113883.3.3823.101027	HFHN NEW CENTER ONE			00000000
MSH-4	31	1	2.16.840.1.113883.3.3823.101028	HFHN NOVI			00000000
MSH-4	32	1	2.16.840.1.113883.3.3823.101029	HFHN PIERSON			00000000
MSH-4	33	1	2.16.840.1.113883.3.3823.101030	HFHN PLYMOUTH			00000000
MSH-4	34	1	2.16.840.1.113883.3.3823.101031	HFHN ROYAL OAK			00000000
MSH-4	35	1	2.16.840.1.113883.3.3823.1010321	Henry Ford Sterling Heights Clinic			00000000
MSH-4	36	1	2.16.840.1.113883.3.3823.101033	HFHN SOUTHFIELD			00000000
MSH-4	37	1	2.16.840.1.113883.3.3823.101034	HFHN SOUTHLAND			00000000
MSH-4	38	1	2.16.840.1.113883.3.3823.101035	HFHN TAYLOR			00000000
MSH-4	39	1	2.16.840.1.113883.3.3823.101036	HFHN TROY			00000000
MSH-4	40	1	2.16.840.1.113883.3.3823.101038	HFHN WOODHAVEN			00000000
