filename	0	0		2.0 Mapping Tables - Hospitals/Ascension Providence Hospital Southfield ADT 2.0 table 07-10-2020.xlsx			
MSH-4	2	1	Hospital Value	Description			FFDEEAF6
MSH-4	3	1	2.16.840.1.113883.3.1481.1.2.2	Hospital Name			FFAEABAB
MSH-4	4	1	2.16.840.1.113883.17.3950	St. John Providence Hospital 			00000000
PID-8	2	3	MiHIN Value	Description	Hospital Value		FFDEEAF6
PID-8	3	3	M	Male	M		FFAEABAB
PID-8	4	3	F	Female	Female		FFDEEAF6
PID-8	5	3	M	Male	Male		FFDEEAF6
PID-8	6	3	O	Other	Other		FFDEEAF6
PID-8	7	3	U	Unknown	Unknown		FFDEEAF6
PID-8	8	3	A	Ambiguous			FFDEEAF6
PID-8	9	3	N	Not Applicable			FFDEEAF6
PID-10	2	6	MiHIN Value	Description	Hospital Value		FFDEEAF6
PID-10	3	6	2106-3	White	W		FFAEABAB
PID-10	4	6	1002-5	American Indian or Alaska Native	Indian/Alaskan,  Native American,  Indian  American, American Indian/Eskimo/Aleut, American Indian or Alaska Native		FFDEEAF6
PID-10	5	6	2028-9	Asian	Asian,  Indian		FFDEEAF6
PID-10	6	6	2054-5	Black or African American	Black/Afr Amer, Black, Black or African American		FFDEEAF6
PID-10	7	6	2076-8	Native Hawaiian or Other Pacific Islander	Hawaii/Pac Isle,  Asian or Pacific Islander,  Native Hawaiian,  Other Pacific Islander		FFDEEAF6
PID-10	8	6	2106-3	White	White,  Caucasian		FFDEEAF6
PID-10	9	6	2131-1	Other Race	Other,  Mediterranean, Latino/Hispanic,  Hispanic,  Middle Eastern,  CD:929378655,  CD:929380522,  Unknown,  CD:798556718,  CD:538691278,  CD:538691975,  CD:538692564,  CD:657195265, Spanish		FFDEEAF6
PID-10	10	6	MR	Multi-Racial	More Than One Race		FFDEEAF6
PID-10	11	6	PR	Patient Refused 	 Unreported/Refused to Report		FFDEEAF6
PID-22	2	9	MiHIN Value	Description	Hospital Value		FFDEEAF6
PID-22	3	9	H	Hispanic or Latino	Hisp		FFAEABAB
PID-22	4	9	H	Hispanic or Latino	Hispanic or Latino, Hispanic ,  CD:538692756		FFDEEAF6
PID-22	5	9	N	Not Hispanic or Latino	Not Hispanic or Latino, Caucasian, Asian American, African American, Non-Hispanic, Non Hispanic or Latino		FFDEEAF6
PID-22	6	9	U	Unknown	Unknown, Unreported,  CD:343757839, CD:538691621		FFDEEAF6
PID-22	7	9	D	Declined	Declined, Declined to Specify		FFDEEAF6
PID-22	8	9	AN	Alaskan Native 			FFDEEAF6
